site,files,not-pdf
aec.gouvernement.lu,19,5
agriculture.public.lu,1228,87
anf.gouvernement.lu,0,0
anlux.public.lu,252,6
armee.lu,9,0
bee-secure.lu,199,22
bettembourg.lu,559,1
bnl.public.lu,90,3
budget.public.lu,124,10
cc-cdse.lu,10,0
cc-cdv.lu,0,0
ccss.public.lu,32,0
cedies.public.lu,30,1
chd.lu,523,6
cita.lu,47,0
clervaux.lu,35,0
cnap.lu,109,0
cnfpc.lu,6,0
cnpd.public.lu,778,33
cpfec.public.lu,37,0
cr.gouvernement.lu,0,0
demenz.lu,0,0
differdange.lu,463,0
dudelange.lu,714,10
ecampus.lu,0,0
echternach.lu,0,0
education.lu,0,0
einfach.public.lu,0,0
est.public.lu,30,0
etat.public.lu,0,0
ettelbruck.lu,464,0
filmfund.lu,0,0
fondation-logement.lu,1,0
fondsdulogement.lu,173,0
gimb.public.lu,69,2
govjobs.public.lu,1,0
hesperange.lu,131,0
igp.gouvernement.lu,9,0
impotsdirects.public.lu,1256,14
infocrise.public.lu,4,0
inll.lu,143,0
itm.public.lu,1052,5
junglinster.lu,38,0
justice.public.lu,117,0
lifelong-learning.lu,0,0
lod.lu,0,0
logement.public.lu,219,36
logopedie.lu,4,0
luxembourg.public.lu,119,8
luxsenior.lu,0,0
maison-orientation.public.lu,113,0
mamer.lu,0,0
mediateursante.public.lu,36,0
mediationscolaire.lu,0,0
mega.public.lu,646,32
mersch.lu,507,17
minett-kompost.lu,3,0
mondorf-les-bains.lu,386,0
mudam.com,0,0
observatoire.liser.lu,0,0
oekozenter.lu,70,2
officenationalenfance.lu,19,0
pch.gouvernement.lu,38,0
pfi.public.lu,81,0
rehazenter.lu,19,0
revis.public.lu,0,0
rockhal.lu,0,0
sdk.lu,160,0
sebes.lu,202,0
secu.lu,90,0
securite-alimentaire.public.lu,1003,13
servior.lu,0,0
snca.public.lu,69,0
strassen.lu,354,0
tice.lu,0,0
transports.public.lu,140,2
travaux.public.lu,743,9
valorlux.lu,29,4
vianden.lu,11,0
wiltz.lu,545,0
work-luxembourg.public.lu,39,0
112.public.lu,807,1
